DateTime,St,Ln,thermD,Lake,Sim
2003-11-09T00:00:00Z,-1.3588e-9,-2.0401e-10,24,Mendota,0
2003-11-10T00:00:00Z,0.092157,0.001537,24,Mendota,0
2003-11-11T00:00:00Z,0.72989,0.0031444,23.5,Mendota,0
2003-11-12T00:00:00Z,3.3413,0.056867,22.5398,Mendota,0
2003-11-13T00:00:00Z,0.34766,2.8184e-4,23.5,Mendota,0
2003-11-14T00:00:00Z,-1.236e-9,-2.8237e-11,24,Mendota,0
2003-11-15T00:00:00Z,0.069948,0.0010496,24,Mendota,0
2003-11-16T00:00:00Z,1.3226,0.061368,22.5302,Mendota,0
2003-11-17T00:00:00Z,2.1872,0.1347,22.4938,Mendota,0
2003-11-18T00:00:00Z,0.041908,1.0246e-4,24,Mendota,0
2003-11-19T00:00:00Z,0.5634,0.012663,24,Mendota,0
2003-11-20T00:00:00Z,-1.1728e-9,-2.147e-11,24,Mendota,0
2003-11-21T00:00:00Z,-1.3687e-9,-1.5157e-11,24,Mendota,0
2003-11-22T00:00:00Z,-1.2996e-9,-7.7407e-12,24,Mendota,0
2003-11-23T00:00:00Z,-1.3184e-9,-1.7364e-11,24,Mendota,0
2003-11-24T00:00:00Z,0.038725,1.1959e-4,24,Mendota,0
2003-11-25T00:00:00Z,-1.3365e-9,-5.2954e-12,24,Mendota,0
2003-11-26T00:00:00Z,0.19442,9.6241e-4,23.5,Mendota,0
2003-11-27T00:00:00Z,0.63414,0.015888,22.6514,Mendota,0
2003-11-28T00:00:00Z,0.5904,0.012283,22.6535,Mendota,0
2003-11-29T00:00:00Z,0.17651,4.0642e-4,23.5,Mendota,0
2003-11-30T00:00:00Z,-1.2704e-9,-4.4825e-12,24,Mendota,0
2003-12-01T00:00:00Z,-1.2503e-9,-3.0172e-12,24,Mendota,0
2003-12-02T00:00:00Z,-1.1021e-9,-3.4994e-12,24,Mendota,0
2003-12-03T00:00:00Z,-1.1884e-9,-1.0899e-10,24,Mendota,0
2003-12-04T00:00:00Z,-1.229e-9,-1.9528e-11,24,Mendota,0
2003-12-05T00:00:00Z,-1.2265e-9,-4.9533e-11,24,Mendota,0
2003-12-06T00:00:00Z,-1.3956e-9,-1.9344e-11,24,Mendota,0
2003-12-07T00:00:00Z,0.13201,0.0075288,24,Mendota,0
2003-12-08T00:00:00Z,-1.2267e-9,-4.3902e-12,24,Mendota,0
2003-12-09T00:00:00Z,-1.4076e-9,-3.6989e-11,24,Mendota,0
2003-12-10T00:00:00Z,-1.3372e-9,-7.8238e-12,24,Mendota,0
2003-12-11T00:00:00Z,-1.194e-9,-1.9174e-12,24,Mendota,0
2003-12-12T00:00:00Z,-9.8907e-10,-3.7566e-12,24,Mendota,0
2003-12-13T00:00:00Z,0.24512,0.014638,24,Mendota,0
2003-12-14T00:00:00Z,0.25827,0.0067645,24,Mendota,0
2003-12-15T00:00:00Z,0.47332,0.0162,24,Mendota,0
