Height,Area,Depth
299.43,1,34.513
299.943,16.90309,34
300.443,38.87712,33.5
300.943,64.23176,33
301.443,158.88908,32.5
301.943,7254.80801,32
302.443,25205.89398,31.5
302.943,33207.81875,31
303.443,41551.18602,30.5
303.943,51853.6219,30
304.443,62734.1436,29.5
304.943,79030.41666,29
305.443,105037.5173,28.5
305.943,133941.8083,28
306.443,168576.2482,27.5
306.943,214836.6362,27
307.443,269137.8262,26.5
307.943,327112.0585,26
308.443,401221.9844,25.5
308.943,483528.2207,25
309.443,575947.5782,24.5
309.943,676930.0433,24
310.443,797467.6979,23.5
310.943,925704.7119,23
311.443,1088626.875,22.5
311.943,1283336.997,22
312.443,1505854.399,21.5
312.943,1740820.93,21
313.443,1988527.323,20.5
313.943,2234911.895,20
314.443,2485285.596,19.5
314.943,2723309.897,19
315.443,2978076.712,18.5
315.943,3264022.975,18
316.443,3653258.976,17.5
316.943,4050485.069,17
317.443,4414109.501,16.5
317.943,4796077.171,16
318.443,5158332.452,15.5
318.943,5579849.982,15
319.443,6016348.723,14.5
319.943,6468883.431,14
320.443,6928267.272,13.5
320.943,7476296.009,13
321.443,8028820.97,12.5
321.943,8623779.458,12
322.443,9274820.723,11.5
322.943,9852960.632,11
323.443,10365149.74,10.5
323.943,10843023.87,10
324.443,11253594.96,9.5
324.943,11644117.29,9
325.443,12013032.39,8.5
325.943,12356310.56,8
326.443,12673823.36,7.5
326.943,12988489.67,7
327.443,13285122.07,6.5
327.943,13576406.33,6
328.443,13863498.62,5.5
328.943,14148319.14,5
329.443,14418854.85,4.5
329.943,14691317.51,4
330.443,14951571.07,3.5
330.943,15234317.58,3
331.443,15510517.52,2.5
331.943,15780918.01,2
332.343,16009460,1.6
332.443,16071489,1.5
332.543,16135107,1.4
332.643,16203453,1.3
332.743,16273655,1.2
332.843,16349525,1.1
332.943,16489737,1
333.043,16603406,0.9
333.143,16760708,0.8
333.243,16788809,0.7
333.343,16804233,0.6
333.443,16826128,0.5
333.543,16844170,0.4
333.643,16863779,0.3
333.743,16885473,0.2
333.943,16934251.6,0
