DateTime,Depth,TN_mgL,TOT_tn
2006-08-15,4.5,0.125,8.928571428571429
2006-08-15,10.5,0.125,8.928571428571429
2006-08-15,16.5,0.125,8.928571428571429
2007-02-28,7,0.125,8.928571428571429
2007-02-28,9,0.38,27.142857142857142
2007-02-28,14,0.125,8.928571428571429
2007-02-28,18,0.27,19.28571428571429
2008-07-03,0,0.15375,10.982142857142858
2008-07-04,0,0.1295,9.25
2008-07-08,0,0.1545,11.035714285714285
2008-07-12,0,0.14450000000000002,10.321428571428573
2008-07-16,0,0.14700000000000002,10.5
2008-07-22,0,0.095,6.7857142857142865
