DateTime,Depth,DO_mgL,OXY_oxy
2004-05-25,0.5,12.75,398.4375
2004-05-25,1,9.81,306.5625
2004-05-25,2,10.05,314.0625
2004-05-25,3,10.01,312.8125
2004-05-25,4,10.21,319.0625
2004-05-25,5,9.8,306.25
2004-05-25,6,9.61,300.3125
2004-05-25,7,9.63,300.9375
2004-05-25,8,10.26,320.625
2004-05-25,9,10.35,323.4375
2004-05-25,10,10.79,337.1875
2004-05-25,11,10.78,336.875
2004-05-25,12,10.95,342.1875
2004-05-25,13,11.15,348.4375
2004-05-25,14,11.15,348.4375
2004-05-25,15,11.04,345
2004-05-25,16,10.94,341.875
2004-05-25,17,10.73,335.3125
2004-05-25,18,10.83,338.4375
2004-05-25,19,10.64,332.5
2004-05-25,20,10.56,330
2004-05-25,21,10.37,324.0625
2004-05-25,22,9.62,300.625
2004-05-25,23,8.81,275.3125
2004-05-25,24,8.06,251.87500000000003
2004-05-25,25,7.66,239.375
2004-05-25,26,7.37,230.3125
2004-05-25,27,7,218.75
2004-05-25,28,6.72,210
2004-05-25,29,6.22,194.375
2004-06-21,0.5,9.43,294.6875
2004-06-21,1,8.97,280.3125
2004-06-21,2,9.29,290.3125
2004-06-21,3,9.67,302.1875
2004-06-21,4,10,312.5
2004-06-21,5,9.95,310.9375
2004-06-21,6,9.86,308.125
2004-06-21,7,9.87,308.4375
2004-06-21,8,9.99,312.1875
2004-06-21,9,10.18,318.125
2004-06-21,10,10.5,328.125
2004-06-21,11,10.5,328.125
2004-06-21,12,10.36,323.75
2004-06-21,13,10.41,325.3125
2004-06-21,14,10.49,327.8125
2004-06-21,15,10.52,328.75
2004-06-21,16,10.53,329.0625
2004-06-21,17,10.37,324.0625
2004-06-21,18,10.4,325
2004-06-21,19,10.38,324.375
2004-06-21,20,9.28,290
2004-06-21,21,8.88,277.5
2004-06-21,22,8.85,276.5625
2004-07-26,0.5,8.22,256.875
2004-07-26,1,8.21,256.5625
2004-07-26,2,8.37,261.5625
2004-07-26,3,8.31,259.6875
2004-07-26,4,8.64,270
2004-07-26,5,8.49,265.3125
2004-07-26,6,8.49,265.3125
2004-07-26,7,8.95,279.6875
2004-07-26,8,9.09,284.0625
2004-07-26,9,8.93,279.0625
2004-07-26,10,8.91,278.4375
2004-07-26,11,9.23,288.4375
2004-07-26,12,8.93,279.0625
2004-07-26,13,9.11,284.6875
2004-07-26,14,9.05,282.8125
2004-07-26,15,9.36,292.5
2004-07-26,16,9.61,300.3125
2004-07-26,17,9.84,307.5
2004-07-26,18,10,312.5
2004-07-26,19,5.59,174.6875
2004-07-26,20,4.44,138.75
2004-07-26,21,3.9,121.875
2004-07-26,22,3.55,110.9375
2004-07-26,23,3.37,105.3125
2004-07-26,24,3.21,100.3125
2004-07-26,25,3.11,97.1875
2004-07-26,26,3.01,94.0625
2004-07-26,27,2.88,90
2004-07-26,28,2.75,85.9375
2004-08-23,0.5,8.06,251.87500000000003
2004-08-23,1,8.43,263.4375
2004-08-23,2,8.84,276.25
2004-08-23,3,8.72,272.5
2004-08-23,4,9.46,295.625
2004-08-23,5,9.76,305
2004-08-23,6,9.64,301.25
2004-08-23,7,9.49,296.5625
2004-08-23,8,9.43,294.6875
2004-08-23,9,9.11,284.6875
2004-08-23,10,9.03,282.1875
2004-08-23,11,8.7,271.875
2004-08-23,12,8.32,260
2004-08-23,13,8.1,253.125
2004-08-23,14,8,250
2004-08-23,15,7.51,234.6875
2004-08-23,16,6.26,195.625
2004-08-23,17,5.79,180.9375
2004-08-23,18,7.19,224.6875
2004-08-23,19,7.45,232.8125
2004-08-23,20,7.26,226.875
2004-08-23,21,7.12,222.5
2004-08-23,22,6.93,216.5625
2004-08-23,23,3.49,109.0625
2004-08-23,24,3.32,103.75
2004-09-20,1,9.1,284.375
2004-09-20,2,9.2,287.5
2004-09-20,3,8.8,275
2004-09-20,4,8.1,253.125
2004-09-20,5,7.8,243.75
2004-09-20,6,7.7,240.625
2004-09-20,7,7.4,231.25
2004-09-20,8,6.5,203.125
2004-09-20,9,6.3,196.875
2004-09-20,10,6.4,200
2004-09-20,11,6,187.5
2004-09-20,12,5.6,175
2004-09-20,13,5.25,164.0625
2004-09-20,14,4.9,153.125
2004-09-20,15,4.44,138.75
2004-09-20,16,4.2,131.25
2004-09-20,17,3.9,121.875
2004-09-20,18,3.7,115.625
2004-09-20,19,3.7,115.625
2004-09-20,20,4.05,126.5625
2004-09-20,21,4.04,126.25
2004-09-20,22,3.8,118.75
2004-09-20,23,3.52,110
2004-09-20,24,3.53,110.3125
2004-09-20,25,2.5,78.125
2004-09-20,26,2.25,70.3125
2004-09-20,27,2.19,68.4375
2004-09-20,28,2.2,68.75
2004-09-20,29,2.1,65.625
2004-09-20,30,2.06,64.375
2005-06-27,0.5,8.72,272.5
2005-06-27,1,8.67,270.9375
2005-06-27,2,9.18,286.875
2005-06-27,3,8.86,276.875
2005-06-27,4,9.07,283.4375
2005-06-27,5,9.47,295.9375
2005-06-27,6,10.2,318.75
2005-06-27,7,10.63,332.1875
2005-06-27,8,10.54,329.375
2005-06-27,9,10.92,341.25
2005-06-27,10,10.8,337.5
2005-06-27,11,10.82,338.125
2005-06-27,12,10.45,326.5625
2005-06-27,13,10.51,328.4375
2005-06-27,14,10.36,323.75
2005-06-27,15,10.42,325.625
2005-06-27,16,10.28,321.25
2005-06-27,17,9.86,308.125
2005-06-27,18,9.86,308.125
2005-06-27,19,9.78,305.625
2005-06-27,20,9.93,310.3125
2005-06-27,21,9.83,307.1875
2005-06-27,22,9.68,302.5
2005-06-27,23,9.83,307.1875
2005-06-27,24,9.73,304.0625
2005-06-27,25,9.65,301.5625
2005-06-27,26,9.44,295
2005-06-27,27,9.25,289.0625
2005-06-27,28,6.57,205.3125
2005-06-27,29,6.5,203.125
2005-07-25,0.5,8.09,252.8125
2005-07-25,1,7.83,244.6875
2005-07-25,2,7.75,242.1875
2005-07-25,3,8.14,254.37500000000003
2005-07-25,4,8.3,259.375
2005-07-25,5,9.7,303.125
2005-07-25,6,10.48,327.5
2005-07-25,7,11.05,345.3125
2005-07-25,8,10.31,322.1875
2005-07-25,9,10.32,322.5
2005-07-25,10,10.18,318.125
2005-07-25,11,10.04,313.75
2005-07-25,12,10.1,315.625
2005-07-25,13,9.68,302.5
2005-07-25,14,9.68,302.5
2005-07-25,15,9.41,294.0625
2005-07-25,16,9.31,290.9375
2005-07-25,17,9.15,285.9375
2005-07-25,18,8.85,276.5625
2005-07-25,19,8.84,276.25
2005-07-25,20,8.79,274.6875
2005-07-25,21,8.72,272.5
2005-07-25,22,8.81,275.3125
2005-07-25,23,8.81,275.3125
2005-07-25,24,8.82,275.625
2005-08-22,0.5,7.62,238.125
2005-08-22,1,7.59,237.1875
2005-08-22,2,7.6,237.5
2005-08-22,3,7.59,237.1875
2005-08-22,4,7.7,240.625
2005-08-22,5,7.72,241.25
2005-08-22,6,7.85,245.3125
2005-08-22,7,9.24,288.75
2005-08-22,8,9.1,284.375
2005-08-22,9,9.51,297.1875
2005-08-22,10,8.92,278.75
2005-08-22,11,8.3,259.375
2005-08-22,12,7.96,248.75
2005-08-22,13,8.03,250.93749999999997
2005-08-22,14,8.22,256.875
2005-08-22,15,7.74,241.875
2005-08-22,16,7.43,232.1875
2005-08-22,17,6.79,212.1875
2005-08-22,18,6.9,215.625
2005-08-22,19,7.43,232.1875
2005-08-22,20,7.34,229.375
2005-08-22,21,7.48,233.75
2005-08-22,22,6.81,212.8125
2005-08-22,23,6.57,205.3125
2005-08-22,24,6.13,191.5625
2005-08-22,25,6.11,190.9375
2005-08-22,26,5.9,184.375
2005-08-22,27,4.05,126.5625
2005-08-22,28,3.9,121.875
2006-05-31,0.5,10.24,320
2006-05-31,1,10.06,314.375
2006-05-31,2,9.85,307.8125
2006-05-31,3,10.2,318.75
2006-05-31,4,10.25,320.3125
2006-05-31,5,10.55,329.6875
2006-05-31,6,10.92,341.25
2006-05-31,7,10.8,337.5
2006-05-31,8,10.83,338.4375
2006-05-31,9,10.87,339.6875
2006-05-31,10,10.91,340.9375
2006-05-31,11,10.74,335.625
2006-05-31,12,10.63,332.1875
2006-05-31,13,11.26,351.875
2006-05-31,14,10.99,343.4375
2006-05-31,15,11.08,346.25
2006-05-31,16,11.09,346.5625
2006-05-31,17,11.01,344.0625
2006-05-31,18,11.39,355.9375
2006-05-31,19,11.54,360.625
2006-05-31,20,11.7,365.625
2006-05-31,21,11.52,360
2006-05-31,22,11.9,371.875
2006-05-31,23,12.17,380.3125
2006-05-31,24,12.19,380.9375
2006-05-31,25,12.34,385.625
2006-05-31,26,12.45,389.0625
2006-05-31,27,12.32,385
2006-05-31,28,11.96,373.75
2006-07-05,0.5,9.23,288.4375
2006-07-05,1,9.7,303.125
2006-07-05,2,9.63,300.9375
2006-07-05,3,9.17,286.5625
2006-07-05,4,9.14,285.625
2006-07-05,5,8.03,250.93749999999997
2006-07-05,6,8.21,256.5625
2006-07-05,7,8.81,275.3125
2006-07-05,8,9.15,285.9375
2006-07-05,9,9.04,282.5
2006-07-05,10,8.91,278.4375
2006-07-05,11,8.87,277.1875
2006-07-05,12,8.9,278.125
2006-07-05,13,9.42,294.375
2006-07-05,14,9.66,301.875
2006-07-05,15,9.61,300.3125
2006-07-05,16,9.58,299.375
2006-07-05,17,9.4,293.75
2006-07-05,18,9.35,292.1875
2006-07-05,19,9.48,296.25
2006-07-05,20,9.14,285.625
2006-07-05,21,9.24,288.75
2006-07-05,22,9.07,283.4375
2006-07-05,23,8.89,277.8125
2006-07-05,24,8.95,279.6875
2006-07-05,25,8.8,275
2006-07-24,0.5,8,250
2006-07-24,1,8.07,252.1875
2006-07-24,2,8.32,260
2006-07-24,3,8.06,251.87500000000003
2006-07-24,4,7.49,234.0625
2006-07-24,5,7.14,223.125
2006-07-24,6,6.23,194.6875
2006-07-24,7,5.95,185.9375
2006-07-24,8,5.88,183.75
2006-07-24,9,5.78,180.625
2006-07-24,10,5.79,180.9375
2006-07-24,11,5.74,179.375
2006-07-24,12,5.88,183.75
2006-07-24,13,5.93,185.3125
2006-07-24,14,6.1,190.625
2006-07-24,15,6.29,196.5625
2006-07-24,16,6.33,197.8125
2006-07-24,17,6.39,199.6875
2006-07-24,18,6.47,202.1875
2006-07-24,19,6.62,206.875
