datetime,stage
2003-11-10T05:00:00Z,33.431616
2003-11-24T05:00:00Z,33.321888
2003-11-25T05:00:00Z,33.300552
2003-12-01T05:00:00Z,33.291408
2003-12-02T05:00:00Z,33.276168
2003-12-05T05:00:00Z,33.260928
2003-12-09T05:00:00Z,33.260928
2003-12-11T05:00:00Z,33.279216
2003-12-16T05:00:00Z,33.321888
2003-12-18T05:00:00Z,33.413328
2003-12-22T05:00:00Z,33.401136
2003-12-24T05:00:00Z,33.36456
2003-12-30T05:00:00Z,33.346272
2003-12-31T05:00:00Z,33.33408
2004-01-02T05:00:00Z,33.285312
2004-01-05T05:00:00Z,33.248736
2004-01-06T05:00:00Z,33.245688
2004-01-07T05:00:00Z,33.21216
2004-01-08T05:00:00Z,33.209112
2004-01-09T05:00:00Z,33.190824
2004-01-12T05:00:00Z,33.19692
2004-01-13T05:00:00Z,33.193872
2004-01-14T05:00:00Z,33.178632
2004-01-15T05:00:00Z,33.169488
2004-01-16T05:00:00Z,33.169488
2004-01-20T05:00:00Z,33.12072
2004-01-21T05:00:00Z,33.102432
2004-01-22T05:00:00Z,33.093288
2004-01-23T05:00:00Z,33.114624
2004-01-26T05:00:00Z,33.075
2004-01-28T05:00:00Z,33.065856
2004-01-29T05:00:00Z,33.050616
2004-01-30T05:00:00Z,33.041472
2004-02-02T05:00:00Z,33.020136
2004-02-03T05:00:00Z,33.007944
2004-02-04T05:00:00Z,33.026232
2004-02-05T05:00:00Z,33.010992
2004-02-06T05:00:00Z,33.007944
2004-02-09T05:00:00Z,33.023184
2004-02-10T05:00:00Z,33.017088
2004-02-11T05:00:00Z,33.007944
2004-02-12T05:00:00Z,33.010992
2004-02-13T05:00:00Z,33.010992
2004-02-17T05:00:00Z,33.004896
2004-02-18T05:00:00Z,32.9988
2004-02-19T05:00:00Z,32.9988
2004-02-20T05:00:00Z,32.989656
2004-02-23T05:00:00Z,32.989656
2004-02-24T05:00:00Z,32.989656
2004-02-25T05:00:00Z,32.9988
2004-02-26T05:00:00Z,32.980512
2004-02-27T05:00:00Z,32.974416
2004-03-01T05:00:00Z,32.971368
2004-03-03T05:00:00Z,32.977464
2004-03-04T05:00:00Z,32.977464
2004-03-05T05:00:00Z,32.977464
2004-03-08T05:00:00Z,33.004896
2004-03-09T05:00:00Z,33.017088
2004-03-10T05:00:00Z,33.010992
2004-03-11T05:00:00Z,33.023184
