DateTime,Depth,TP_mgL,TOT_tp
2004-05-25,0,0.005,0.1614465611882467
2004-05-25,3,0.006,0.19373587342589604
2004-05-25,3.5,0.005,0.1614465611882467
2004-05-25,4.5,0.011,0.35518243461414273
2004-05-25,8,0.008,0.2583144979011947
2004-05-25,8.5,0.006,0.19373587342589604
2004-05-25,9,0.008,0.2583144979011947
2004-05-25,14,0.012,0.3874717468517921
2004-05-25,19.5,0.007,0.2260251856635454
2004-06-21,2.5,0.005,0.1614465611882467
2004-06-21,3,0.005,0.1614465611882467
2004-06-21,4,0.006,0.19373587342589604
2004-06-21,9,0.005,0.1614465611882467
2004-06-21,9.5,0.005,0.1614465611882467
2004-06-21,11,0.005,0.1614465611882467
2004-06-21,14,0.006,0.19373587342589604
2004-06-21,16.5,0.007,0.2260251856635454
2004-06-21,17.5,0.005,0.1614465611882467
2004-06-24,3,0.005,0.1614465611882467
2004-06-24,8,0.005,0.1614465611882467
2004-06-24,15.5,0.005,0.1614465611882467
2004-07-26,0,0.005,0.1614465611882467
2004-07-26,3,0.005333333333333333,0.17220966526746315
2004-07-26,3.5,0.006,0.19373587342589604
2004-07-26,9,0.005,0.1614465611882467
2004-07-26,10,0.005,0.1614465611882467
2004-07-26,11.5,0.005,0.1614465611882467
2004-07-26,15.5,0.005,0.1614465611882467
2004-07-26,17.5,0.005,0.1614465611882467
2004-07-26,21,0.005,0.1614465611882467
2004-08-23,4,0.005,0.1614465611882467
2004-08-23,4.5,0.0075,0.24216984178237005
2004-08-23,11,0.012,0.3874717468517921
2004-08-23,12,0.008,0.2583144979011947
2004-08-23,13.5,0.006,0.19373587342589604
2004-08-23,16.5,0.005,0.1614465611882467
2004-08-23,17.5,0.005,0.1614465611882467
2004-08-23,19,0.005,0.1614465611882467
2004-08-23,21.5,0.006,0.19373587342589604
2004-09-20,5,0.005,0.1614465611882467
2004-09-20,6,0.005,0.1614465611882467
2004-09-20,6.5,0.005,0.1614465611882467
2004-09-20,13,0.005,0.1614465611882467
2004-09-20,14.5,0.006,0.19373587342589604
2004-09-20,15,0.006,0.19373587342589604
2004-09-20,16,0.006,0.19373587342589604
2004-09-20,18,0.008,0.2583144979011947
2004-09-20,19.5,0.005,0.1614465611882467
2004-09-20,23.5,0.005,0.1614465611882467
2005-06-27,2,0.005,0.1614465611882467
2005-06-27,2.5,0.0055,0.17759121730707136
2005-06-27,7.5,0.006,0.19373587342589604
2005-06-27,8,0.006,0.19373587342589604
2005-06-27,10.5,0.006,0.19373587342589604
2005-06-27,11,0.005,0.1614465611882467
2005-06-27,14,0.005,0.1614465611882467
