agency_cd,site_no,datetime,154918_00010_00001,154918_00010_00001_cd,154919_00010_00002,154919_00010_00002_cd,154920_00010_00003,154920_00010_00003_cd,154921_00060_00003,154921_00060_00003_cd,154924_00665_00003,154924_00665_00003_cd,154926_00671_00003,154926_00671_00003_cd
USGS,5427850,12/27/2001,,,,,,,56.1,A,,,,
USGS,5427850,12/28/2001,,,,,,,55.4,A,,,,
USGS,5427850,12/29/2001,,,,,,,54.3,A,,,,
USGS,5427850,12/30/2001,,,,,,,54,A,,,,
USGS,5427850,12/31/2001,,,,,,,53.5,A,,,,
USGS,5427850,1/1/2002,1.5,A,1.5,A,1.5,A,56,A:e,,,,
USGS,5427850,1/2/2002,1.5,A,1.5,A,1.5,A,55,A:e,,,,
USGS,5427850,1/3/2002,1.5,A,1,A,1.5,A,54,A:e,,,,
USGS,5427850,1/4/2002,1,A,0.5,A,1,A,52.6,A,,,,
USGS,5427850,1/5/2002,1,A,0.5,A,0.5,A,55.2,A,,,,
USGS,5427850,1/6/2002,1,A,0.5,A,0.5,A,53.6,A,,,,
USGS,5427850,1/7/2002,1,A,0.5,A,0.5,A,48.5,A,,,,
USGS,5427850,1/8/2002,1,A,0.5,A,0.5,A,54.4,A,,,,
USGS,5427850,1/9/2002,1.5,A,0.5,A,1,A,61.8,A,,,,
USGS,5427850,1/10/2002,1.5,A,0.5,A,1,A,59.6,A,,,,
USGS,5427850,1/11/2002,2,A,0.5,A,1.5,A,57.5,A,,,,
USGS,5427850,1/12/2002,1.5,A,1,A,1.5,A,55.3,A,,,,
USGS,5427850,1/13/2002,1.5,A,1,A,1,A,50.4,A,,,,
USGS,5427850,1/14/2002,1.5,A,0.5,A,1,A,50.9,A,,,,
USGS,5427850,1/15/2002,1,A,0.5,A,0.5,A,47.9,A,,,,
USGS,5427850,1/16/2002,0.5,A,0,A,0.5,A,44.4,A,,,,
USGS,5427850,1/17/2002,0.5,A,0,A,0.5,A,38.7,A,,,,
USGS,5427850,1/18/2002,1,A,0,A,0.5,A,38.6,A,,,,
USGS,5427850,1/19/2002,0.5,A,0,A,0.5,A,39.7,A,,,,
USGS,5427850,1/20/2002,0.5,A,0,A,0,A,41.7,A,,,,
USGS,5427850,1/21/2002,0.5,A,0,A,0,A,46,A,,,,
USGS,5427850,1/22/2002,0.5,A,0,A,0.5,A,42.4,A,,,,
USGS,5427850,1/23/2002,1,A,0,A,0.5,A,49.6,A,,,,
USGS,5427850,1/24/2002,1.5,A,0.5,A,1,A,47.2,A,,,,
USGS,5427850,1/25/2002,2,A,0.5,A,1,A,47.2,A,,,,
USGS,5427850,1/26/2002,2.5,A,0.5,A,1.5,A,61.5,A,,,,
USGS,5427850,1/27/2002,3,A,2,A,2.5,A,54.1,A,,,,
USGS,5427850,1/28/2002,2,A,1.5,A,2,A,60.9,A,,,,
USGS,5427850,1/29/2002,1.5,A,0.5,A,1,A,43.9,A,,,,
USGS,5427850,1/30/2002,1,A,0,A,0.5,A,42.7,A,,,,
USGS,5427850,1/31/2002,1,A,0,A,0.5,A,48.3,A,,,,
USGS,5427850,2/1/2002,1,A,0,A,0.5,A,39,A,,,,
USGS,5427850,2/2/2002,1,A,0.5,A,0.5,A,37.6,A,,,,
USGS,5427850,2/3/2002,1,A,0.5,A,1,A,44.5,A,,,,
USGS,5427850,2/4/2002,1,A:e,0.5,A:e,1,A:e,44,A:e,,,,
USGS,5427850,2/5/2002,1,A:e,0.5,A:e,1,A:e,46,A:e,,,,
USGS,5427850,2/6/2002,1,A,0.5,A,0.5,A,40.2,A,,,,
USGS,5427850,2/7/2002,1,A,0.5,A,1,A,44.7,A,,,,
USGS,5427850,2/8/2002,1.5,A,0.5,A,1,A,48.2,A,,,,
USGS,5427850,2/9/2002,1.5,A,0.5,A,1,A,56.2,A,,,,
USGS,5427850,2/10/2002,1.5,A,1,A,1.5,A,71,A,,,,
USGS,5427850,2/11/2002,1.5,A,1,A,1.5,A,39.5,A,,,,
USGS,5427850,2/12/2002,1.5,A,0,A,1,A,82.8,A,,,,
USGS,5427850,2/13/2002,2.5,A,0.5,A,1.5,A,36.9,A,,,,
USGS,5427850,2/14/2002,2.5,A,1.5,A,2,A,42.1,A,,,,
USGS,5427850,2/15/2002,1.5,A,0.5,A,1,A,76.8,A,,,,
USGS,5427850,2/16/2002,2,A,1,A,1.5,A,66.4,A,,,,
USGS,5427850,2/17/2002,3.5,A,1,A,2,A,47.7,A,,,,
