sampledate,julian_day,sample_site,water_depth,poc,dic,doc,temp,do,spc,ph,orp,turb,chl_rfu,bga_rfu,discharge
2016-04-24 00:00:00,115,Dorn,0.1,0.709866667,78.03,2.12,NA,NA,NA,NA,NA,NA,NA,NA,5
2016-04-24 00:00:00,115,Outflow,0.1,1.452,44.54,4.68,NA,NA,NA,NA,NA,NA,NA,NA,153
2016-04-24 00:00:00,115,Pheasant Branch,0.1,0.699111111,56.93,5.17,NA,NA,NA,NA,NA,NA,NA,NA,2.8
2016-04-24 00:00:00,115,Sixmile,0.1,0.587714286,77.42,3.12,NA,NA,NA,NA,NA,NA,NA,NA,18
2016-04-24 00:00:00,115,Yahara,0.1,3.307333333,52.71,3.75,NA,NA,NA,NA,NA,NA,NA,NA,73
2016-05-15 00:00:00,136,Dorn,0.1,1.371333333,77.89,2.89,12.101,11.68,716.7,7.62,266.6,3.85,0.23,-0.04,4.1
2016-05-15 00:00:00,136,Outflow,0.1,1.411666667,43.81,4.82,11.615,12.09,562.4,8.44,186.7,0.51,0.5,0,209
2016-05-15 00:00:00,136,Pheasant Branch,0.1,1.452,45.11,5.85,10.981,12.52,908.8,7.52,291.4,1.58,0.65,0.02,5.8
2016-05-15 00:00:00,136,Sixmile,0.1,1.797714286,68.25,6.5,16.467,15.35,702.7,7.89,37.9,32.89,13.55,19,29
2016-05-15 00:00:00,136,Yahara,0.1,4.477,48.99,4.28,12.578,14.9,608.2,8.65,156.6,4.02,10.15,0.89,75
2016-06-03 00:00:00,155,Dorn,0.1,1.855333333,79.86,2.31,14.229,9.7,597.1,7.55,72.6,13.86,0.15,0.01,3.7
2016-06-03 00:00:00,155,Outflow,0.1,1.129333333,NA,NA,21.221,11.56,502.8,8.72,261.1,1.16,0.75,0.05,166
2016-06-03 00:00:00,155,Pheasant Branch,0.1,0.726,56.66,6.8,19.855,4.46,843.2,7.34,130.1,1.96,0.49,0.03,3.4
2016-06-03 00:00:00,155,Sixmile,0.1,2.527555556,77.83,6.55,18.021,5.44,718.1,7.54,-40.9,145.37,2.06,0.32,22
2016-06-03 00:00:00,155,Yahara,0.1,3.710666667,59.72,5,22.972,7.15,624.9,8.06,131.3,18.03,8.5,0.85,59
2016-06-08 00:00:00,160,Dorn,0.1,1.434074074,78.46,1.69,13.89,10.18,753.4,7.57,310.1,9.81,1.07,0.01,3.6
2016-06-08 00:00:00,160,Outflow,0.1,0.591555556,42,5.59,18.191,9.93,450.1,8.61,251.2,0.56,0.44,796.5,58
2016-06-08 00:00:00,160,Pheasant Branch,0.1,0.645333333,60.1,6.42,17.28,5.51,909.1,7.3,186.5,2.51,0.5,0.02,2.5
2016-06-08 00:00:00,160,Sixmile,0.1,0.322666667,80.96,6.6,17.737,11.31,603.8,8.03,225.1,1.53,0.55,0.02,19
2016-06-08 00:00:00,160,Yahara,0.1,5.646666667,52.08,5.13,19.615,11.89,577,8.47,244.3,6.56,15.98,2.08,54
2016-06-15 00:00:00,167,Dorn,0.1,6.655,63.17,9.61,17.838,0.63,608.3,7.43,175.6,39.75,1.81,0.1,7
2016-06-15 00:00:00,167,Outflow,0.1,0.645333333,39.91,5.11,22.295,9.45,479.4,8.53,168.9,1.05,0.38,0.04,41
