sampledate,julian_day,sample_site,water_depth,poc,dic,doc,temp,do,spc,ph,orp,turb,chl_rfu,bga_rfu,discharge
2016-06-15 00:00:00,167,Pheasant Branch,0.1,2.783,21.22,5.34,22.118,4.14,329.2,7.15,207.3,16.47,4.23,0.49,59
2016-06-15 00:00:00,167,Sixmile,0.1,1.694,34,6.36,20.903,5.7,326.9,7.57,185.2,12.55,1.49,0.06,42
2016-06-15 00:00:00,167,Yahara,0.1,4.0656,43.72,4.1,25.459,7.14,537.8,8.43,169.8,5.44,9.53,0.97,105
2016-06-21 00:00:00,173,Dorn,0.1,0.903466667,77.95,2.52,18.573,11.3,744.1,7.67,193.9,0,0.11,0.06,3.5
2016-06-21 00:00:00,173,Outflow,0.1,0.914222222,36.23,5.69,25.328,12.04,485.2,8.79,185.7,0.96,0.49,0.09,36
2016-06-21 00:00:00,173,Pheasant Branch,0.1,1.936,53.12,7.15,23.371,6.23,780.2,7.31,241,2.4,3.9,0.86,3.2
2016-06-21 00:00:00,173,Sixmile,0.1,0.821333333,73.57,9.06,22.798,12.15,644.2,8,177.5,18.81,93,0.04,17
2016-06-21 00:00:00,173,Yahara,0.1,2.823333333,45.39,5.23,26.876,8.05,522.1,8.34,175.8,5.22,6.4,0.81,53
2016-06-29 00:00:00,179,Dorn,0.1,0.537777778,80.37,2.75,14.681,11.32,631.2,7.64,215.7,2.98,0.13,0.03,5.6
2016-06-29 00:00:00,179,Outflow,0.1,1.889904762,40.24,5.06,23.284,9.36,515.1,8.53,221.5,1.81,0.66,0.18,114
2016-06-29 00:00:00,179,Pheasant Branch,0.1,3.146,41.5,7.41,21.908,6.2,672.6,7.3,146.3,4.61,4.42,1.52,20
2016-06-29 00:00:00,179,Sixmile,0.1,0.56115942,73.79,6.35,19.747,9.22,707.5,7.79,215.8,2.18,0.46,0.04,25
2016-06-29 00:00:00,179,Yahara,0.1,4.563428571,48.89,4.72,24.603,8.61,578.8,8.27,222,5.35,5.31,1.29,122
2016-07-08 00:00:00,190,Dorn,0.1,0.295777778,81.57,3.55,16.688,10.43,761.6,7.7,178.2,2.14,0.24,0.02,5.3
2016-07-08 00:00:00,190,Outflow,0.1,1.628,38.93,5.14,24.866,8.88,510.9,8.57,209.5,0,0.95,0.16,138
2016-07-08 00:00:00,190,Pheasant Branch,0.1,1.4036,39.33,5.58,23.785,6.45,622.4,7.37,173.5,0,3.21,0.26,4.9
2016-07-08 00:00:00,190,Sixmile,0.1,0.457111111,61.25,5.39,21.753,7.94,593.7,7.76,199,1.16,0.53,0.01,19
2016-07-08 00:00:00,190,Yahara,0.1,4.275333333,51,5.34,27.01,6.89,593.4,8.09,209.7,0,5.37,2.48,69
2016-07-13 00:00:00,195,Dorn,0.1,0.525485714,81.76,1.89,14.914,8.96,618,7.52,241.3,2.85,0.11,0.04,3.5
2016-07-13 00:00:00,195,Outflow,0.1,1.505777778,39.13,5.32,25.374,8.76,510.5,8.56,194.4,1.31,0.66,0.2,77
2016-07-13 00:00:00,195,Pheasant Branch,0.1,1.336761905,49.99,5.65,24.216,6.12,767,7.39,236.8,2.06,3.01,0.11,3
2016-07-13 00:00:00,195,Sixmile,0.1,1.378666667,81.1,5.32,23.216,6.14,741.1,7.82,197.3,0.53,0.41,0.08,17
2016-07-13 00:00:00,195,Yahara,0.1,4.356,52.91,4.95,26.5,11.77,578.5,8.38,171.9,12.92,6.72,5.68,49
2016-07-20 00:00:00,203,Dorn,0.1,1.226133333,80.15,1.76,15.99,9.8,757.1,7.67,176.9,2.3,0.14,0.07,6.6
2016-07-20 00:00:00,203,Outflow,0.1,1.236888889,37.87,5.03,26.291,8.13,498.2,8.59,182.6,1.2,0.4,0.08,53
2016-07-20 00:00:00,203,Pheasant Branch,0.1,1.250333333,60.22,4.69,23.817,6.24,828.6,7.5,157.8,1.92,4.55,0.28,91
2016-07-20 00:00:00,203,Sixmile,0.1,1.102444444,81.12,4.28,22.776,7.87,742.5,7.87,140.6,0.4,0.57,0.01,24
2016-07-20 00:00:00,203,Yahara,0.1,8.389333333,49.59,5.2,26.836,11.24,571.7,8.27,164.1,13.76,7.13,10.95,45
2016-07-27 00:00:00,210,Dorn,0.1,0.752888889,78.23,4.51,15.718,7.54,703.1,7.47,141.7,4.27,0.37,0.03,2.3
2016-07-27 00:00:00,210,Outflow,0.1,1.667111111,36.33,4.97,27.31,0.24,474.6,8.67,156.4,2.17,0.57,0.19,111
2016-07-27 00:00:00,210,Pheasant Branch,0.1,3.119111111,46.16,7.07,24.229,5.71,637.7,7.29,157.9,7.99,7.12,2.04,13
2016-07-27 00:00:00,210,Sixmile,0.1,0.699111111,62.54,10.36,22.524,4.81,534.3,7.56,156.6,1.95,1.2,0.06,19
2016-07-27 00:00:00,210,Yahara,0.1,8.174222222,44.49,6,27.804,13.26,489.2,8.37,159.2,10.26,8.31,8.37,72
2016-08-01 00:00:00,215,Dorn,0.1,0.591555556,79.99,2.84,14.889,8.68,750.1,7.44,144.6,10.25,0.26,0.05,2.2
2016-08-01 00:00:00,215,Outflow,0.1,1.51008,37.03,5.06,25.899,9.69,488.4,8.56,187.5,1.53,0.4,0.09,99
2016-08-01 00:00:00,215,Pheasant Branch,0.1,0.524333333,46.6,5.86,23.241,6.23,716.1,7.2,243.9,3.85,2.31,0.47,4.4
2016-08-01 00:00:00,215,Sixmile,0.1,1.344444444,74.81,7.51,20.926,7.31,676.7,7.67,200.3,0.82,0.59,0.02,20
2016-08-01 00:00:00,215,Yahara,0.1,0.691428571,51.42,7.76,26.909,10.87,541.9,8.03,191.3,5.07,7.23,3.27,59
2016-08-10 00:00:00,223,Dorn,0.1,0.430222222,80.48,2.37,14.763,8.03,718.6,7.4,231.1,1.94,0.15,0.06,2.4
2016-08-10 00:00:00,223,Outflow,0.1,1.061677419,36.78,4.85,26.047,8.79,459,8.58,196.3,1.52,0.31,0.12,130
2016-08-10 00:00:00,223,Pheasant Branch,0.1,0.733333333,36.66,5.88,24.057,5.54,663.8,7.28,199.6,3.35,1.29,0.4,3.9
2016-08-10 00:00:00,223,Sixmile,0.1,0.349555556,76.36,5.9,22.111,6.39,671,7.68,143.7,12.16,0.79,0.08,19
2016-08-10 00:00:00,223,Yahara,0.1,3.9688,50.42,6.18,26.927,10.79,517.1,8.01,200.4,6.02,11.34,4.06,61
2016-08-18 00:00:00,231,Dorn,0.1,0.376444444,81.87,3.16,16.1,NA,NA,NA,NA,NA,NA,NA,3.1
2016-08-18 00:00:00,231,Outflow,0.1,9.68,36.25,4.81,26.9,NA,NA,NA,NA,NA,NA,NA,115
2016-08-18 00:00:00,231,Pheasant Branch,0.1,6.776,59.34,5.28,24.3,NA,NA,NA,NA,NA,NA,NA,4.6
2016-08-18 00:00:00,231,Sixmile,0.1,0.107555556,70.04,6.04,22.1,NA,NA,NA,NA,NA,NA,NA,21
2016-08-18 00:00:00,231,Yahara,0.1,4.710933333,50.81,5.55,27,NA,NA,NA,NA,NA,NA,NA,52
2016-08-22 00:00:00,235,Dorn,0.1,0.376444444,82.58,4.15,13.644,9.15,732.9,7.44,298.5,1.15,0.28,0,4.3
2016-08-22 00:00:00,235,Outflow,0.1,1.290666667,36.26,4.82,23.516,10.35,466.9,8.58,222,0.93,0.38,0.1,115
2016-08-22 00:00:00,235,Pheasant Branch,0.1,2.043555556,38.95,7,20.101,6.52,559.8,7.22,310.7,4.85,2.65,1.32,7.2
2016-08-22 00:00:00,235,Sixmile,0.1,2.489142857,73.45,6.34,18.051,7.92,657.5,7.63,271.7,7.87,4.69,1.51,30
2016-08-22 00:00:00,235,Yahara,0.1,5.678933333,55.22,4.95,22.326,10.25,541.1,8.09,243.6,12.04,12.96,6.92,85
2016-08-29 00:00:00,242,Dorn,0.1,0.430222222,82.37,5.14,15.516,7.57,742.6,7.3,269.3,1.42,0.45,0.04,5.7
2016-08-29 00:00:00,242,Outflow,0.1,0.797176471,37.17,4.61,24.144,9.98,482.3,8.49,210.6,0.94,0.22,0.06,113
2016-08-29 00:00:00,242,Pheasant Branch,0.1,1.751619048,37.48,6.98,20.89,5.63,523.4,7.12,249.3,4.62,2.84,0.77,11
2016-08-29 00:00:00,242,Sixmile,0.1,0.510888889,69.58,6.42,19.538,6.36,632.7,7.47,223.4,1.12,0.77,0.01,29
2016-08-29 00:00:00,242,Yahara,0.1,5.162666667,53.32,6.06,24.219,15.25,576.2,8.2,219.2,8.12,13.69,4.41,99
2016-09-09 00:00:00,253,Dorn,0.1,0.349555556,71.72,6.41,16.469,5.03,634.1,7.2,177.2,9.67,0.96,0.02,7.3
2016-09-09 00:00:00,253,Outflow,0.1,0.968,37.86,4.63,23.304,8,469.9,8.3,254.1,1.28,0.34,0.09,NA
2016-09-09 00:00:00,253,Pheasant Branch,0.1,2.178,35.03,10.6,21.311,3.09,434.7,6.96,225.2,13.09,12.94,0.31,20
2016-09-09 00:00:00,253,Sixmile,0.1,0.699111111,55.88,7.42,9.367,5.46,508.3,7.31,156.8,7.84,1.12,0.04,34
2016-09-09 00:00:00,253,Yahara,0.1,2.823333333,57.86,5.22,22.604,6.45,600.1,7.58,265.2,4.99,12.12,1.53,24.3
2016-09-30 00:00:00,274,Dorn,0.1,0.403333333,77.32,3.64,12.925,3.85,569.8,7.31,23.2,23.36,0.41,-0.01,5.6
2016-09-30 00:00:00,274,Outflow,0.1,1.183111111,41.27,5.01,18.009,8.14,502.5,8.06,215.1,1.39,1.06,0.4,248
2016-09-30 00:00:00,274,Pheasant Branch,0.1,0.6776,70.81,5.7,15.351,5.69,954.8,7.31,44.5,3.95,0.67,-0.01,4.9
2016-09-30 00:00:00,274,Sixmile,0.1,0.430222222,74.75,7.19,14.312,6.96,697.1,7.62,199.6,1.78,0.62,0.02,33
2016-09-30 00:00:00,274,Yahara,0.1,2.473777778,56.13,8.85,18.833,9.23,559,7.92,200.9,6.65,16.33,1.42,17.4
2016-10-13 00:00:00,287,Dorn,0.1,0.331885714,84.72,4.52,8.747,7.67,524,7.38,287.3,0,1.02,-0.02,5.7
2016-10-13 00:00:00,287,Outflow,0.1,0.968,41.93,4.84,13.994,9.61,495.9,8.43,217.9,1.84,1.18,0.45,264
2016-10-13 00:00:00,287,Pheasant Branch,0.1,0.887333333,65.69,5.18,12.443,5.79,644.9,7.26,142.1,4.03,2.29,0.25,4.9
2016-10-13 00:00:00,287,Sixmile,0.1,0.484,77.09,5.21,10.51,8.6,697.5,7.61,248.2,3.01,0.4,-0.01,30
2016-10-13 00:00:00,287,Yahara,0.1,1.411666667,69.35,4.92,12.74,9.37,671.7,8.03,211.4,3.31,7.75,1.03,12.9
2016-10-21 00:00:00,295,Dorn,0.1,0.510888889,84,2.95,8.445,8.53,775.1,7.45,218.6,7.04,0.35,0,4.9
2016-10-21 00:00:00,295,Outflow,0.1,1.21,42.67,4.89,13.934,9.13,50.15,8.23,175.7,1.37,1.8,0.67,268
2016-10-21 00:00:00,295,Pheasant Branch,0.1,1.226133333,55.13,6.26,12.598,5.25,740,7.23,59.8,15.58,1.19,0.03,5.2
2016-10-21 00:00:00,295,Sixmile,0.1,0.268888889,85.07,5.33,9.718,8.59,758.2,7.84,44.4,2.35,0.32,-0.01,30
2016-10-21 00:00:00,295,Yahara,0.1,1.411666667,70.75,4.4,12.283,7.33,690,7.88,202.4,1.46,6.2,0.45,11.5
