sampledate,julian_day,sample_site,water_depth,poc,dic,doc,ch4,co2
2016-05-23,144,UBay,2,1.021777778,44.28,4.97,NA,NA
2016-06-01,153,UBay,0.1,0.726,43.26,5.15,0.053783006,10.07059462
2016-06-01,153,UBay,2,0.833555556,42.44,5.23,0.421621524,8.014305289
2016-06-06,158,UBay,0.1,1.102444444,42.37,5.44,2.007022066,15.22691055
2016-06-06,158,UBay,2,2.678133333,43.24,5.96,3.808996161,144.595254
2016-06-13,165,UBay,0.1,0.484,43.34,5.35,3.591179735,41.1051143
2016-06-13,165,UBay,2,1.048666667,43.53,5.51,3.067790232,43.43868724
2016-06-21,173,UBay,0.1,0.564666667,42.97,5.44,0.841701682,28.70717544
2016-06-21,173,UBay,2,0.672222222,42.78,5.37,0.72899053,28.93987202
2016-06-27,177,UBay,0.1,0.854117647,42.09,5.23,1.026351343,29.61297964
2016-06-27,177,UBay,2,0.911058824,41.63,5.18,0.927049112,29.51992136
2016-07-06,187,UBay,0.1,1.398222222,40.08,4.88,1.3657625,61.83648016
2016-07-06,187,UBay,2,1.218962963,39.78,4.92,1.16811145,69.05718604
2016-07-12,193,UBay,0.1,1.0648,39.17,4.91,1.175534132,75.36736716
2016-07-12,193,UBay,2,1.1616,39.39,4.98,1.106120576,86.4829245
2016-07-19,202,UBay,0.1,1.075555556,38.48,4.99,0.56646778,10.89913631
2016-07-19,202,UBay,2,1.111407407,38.58,5.04,0.2858923,10.27779522
2016-07-26,209,UBay,0.1,1.290666667,36.33,4.85,0.847676427,11.75558696
2016-07-26,209,UBay,2,1.882222222,36.33,4.88,0.52954489,12.15612965
2016-08-02,216,UBay,0.1,1.129333333,38.15,4.9,1.279091132,15.84809451
2016-08-02,216,UBay,2,1.218962963,37.47,4.75,0.504429558,12.37485577
2016-08-08,221,UBay,0.1,1.559555556,36.27,4.92,0.736015686,10.49323075
2016-08-08,221,UBay,2,1.613333333,36.17,4.96,0.637957266,10.91652728
2016-08-16,229,UBay,0.1,1.21,36.45,4.82,0.930215959,16.13831264
2016-08-16,229,UBay,2,1.147259259,36.56,4.82,0.870494239,13.18215406
2016-08-23,236,UBay,0.1,0.903466667,37.3,4.54,1.453859143,31.13725831
2016-08-23,236,UBay,2,1.000266667,37.35,4.56,1.280419546,31.66156759
2016-08-30,243,UBay,0.1,0.7744,37.26,4.53,0.807555032,25.08535281
2016-08-30,243,UBay,2,0.349555556,37.14,4.58,0.660708495,21.7552918
2016-09-08,252,UBay,0.1,0.8712,37.59,4.59,1.308120462,83.72216874
2016-09-08,252,UBay,2,1.000266667,37.53,4.6,1.205271292,83.59459487
2016-04-15,106,Yahara,0.1,1.828444444,45.3,4.85,NA,NA
2016-04-15,106,Yahara,2,2.043555556,45.78,4.92,NA,NA
2016-04-22,113,Yahara,0.1,1.129333333,44.22,4.62,NA,NA
2016-04-22,113,Yahara,2,1.290666667,44.59,4.83,NA,NA
2016-05-06,127,Yahara,0.1,1.183111111,45.02,4.59,NA,NA
2016-05-06,127,Yahara,1.5,2.151111111,44.38,4.74,NA,NA
2016-05-12,133,Yahara,0.1,1.720888889,43.58,4.6,NA,NA
2016-05-12,133,Yahara,2,1.532666667,43.96,4.66,NA,NA
2016-05-20,141,Yahara,0.1,0.484,44.03,5.1,NA,NA
2016-05-20,141,Yahara,2,0.699111111,43.83,5,NA,NA
2016-05-23,144,Yahara,0.1,0.403333333,43.84,5.03,NA,NA
2016-05-23,144,Yahara,2,1.398222222,43.49,5.08,NA,NA
2016-06-01,153,Yahara,0.1,2.258666667,42.69,5.19,0.418863251,13.52436931
2016-06-01,153,Yahara,2,2.194133333,42.62,5.33,0.374314821,14.17457702
2016-06-08,160,Yahara,0.1,0.752888889,42.94,5.43,1.195165967,14.10912151
2016-06-08,160,Yahara,2,0.927666667,46,5.43,3.210015616,19.0396558
2016-06-13,165,Yahara,0.1,0.887333333,42.66,5.31,2.584512161,25.80843329
2016-06-13,165,Yahara,2,1.613333333,41.99,5.22,2.884158903,24.34746572
2016-06-21,173,Yahara,0.1,2.16647619,42.43,5.12,1.703936777,23.04471775
2016-06-21,173,Yahara,2,3.495555556,42.39,5.33,1.572358532,25.34989545
2016-06-27,177,Yahara,0.1,2.452266667,41.9,5.22,1.306681906,22.08079764
2016-06-27,177,Yahara,2,2.774933333,41.41,5.28,0.830867808,21.8301244
2016-07-06,187,Yahara,0.1,5.162666667,40.86,5.33,2.207222279,49.94176958
2016-07-06,187,Yahara,2,5.592888889,40.51,5.14,1.878626081,57.0399595
2016-07-12,193,Yahara,0.1,4.598,40.75,5.17,2.897141656,118.2670805
2016-07-12,193,Yahara,2,7.206222222,41,5.32,2.412953123,106.5265168
2016-07-19,202,Yahara,0.1,2.043555556,38.29,5.12,0.550793312,10.85421127
2016-07-19,202,Yahara,2,2.3232,38.68,5.08,0.355264946,13.06399636
2016-07-26,209,Yahara,0.1,5.485333333,37.73,5.36,1.26124008,9.779919886
2016-07-26,209,Yahara,2,4.425142857,38.01,5.16,0.823322613,21.1762784
2016-08-02,216,Yahara,0.1,0.595692308,37.23,4.94,0.743046922,10.77592661
2016-08-02,216,Yahara,2,1.521142857,37.43,5.08,0.769244062,10.82359384
2016-08-08,221,Yahara,0.1,1.989777778,37.01,4.85,0.94022022,12.40823616
2016-08-08,221,Yahara,2,2.904,36.66,4.92,0.954577961,12.67164915
2016-08-16,229,Yahara,0.1,2.057,37.09,5.09,1.836297851,14.90202725
2016-08-16,229,Yahara,2,3.710666667,36.67,5.08,1.689153398,12.67879085
2016-08-23,236,Yahara,0.1,2.581333333,37.73,4.77,1.108181675,25.91484465
2016-08-23,236,Yahara,2,2.996190476,38.59,4.68,1.153015288,29.22258421
2016-08-30,243,Yahara,0.1,1.903733333,38.54,4.89,1.063030433,20.79890467
2016-08-30,243,Yahara,2,3.105666667,41.49,5.29,1.877366521,24.5283617
2016-09-08,252,Yahara,0.1,4.275333333,48.55,6.02,2.655658826,142.306753
2016-09-08,252,Yahara,2,5.364333333,48.17,5.91,2.261881505,140.1468132
2016-09-12,256,Yahara,0.1,3.2912,40.35,4.71,0.850628434,93.78681736
2016-09-12,256,Yahara,2,5.696307692,41.35,4.74,0.625606831,105.0830914
