DateTime	St	Ln	thermD
2003-11-09 00:00	-1.0377e-09	-4.6022e-12	24
2003-11-10 00:00	0.00011393	4.2272e-06	24
2003-11-11 00:00	0.52515	0.041857	24
2003-11-12 00:00	0.12515	0.0010174	24
2003-11-13 00:00	2.0755	0.072541	23.5
2003-11-14 00:00	0.073833	0.00022801	24
2003-11-15 00:00	-1.1312e-09	-2.0628e-12	24
2003-11-16 00:00	1.1028e-05	5.9923e-08	24
2003-11-17 00:00	0.24335	0.020754	24
2003-11-18 00:00	0.36648	0.085791	24
2003-11-19 00:00	0.69279	0.0047802	24
2003-11-20 00:00	0.085665	0.00020621	24
2003-11-21 00:00	0.00031795	8.2685e-07	24
2003-11-22 00:00	1.042	0.035011	24
2003-11-23 00:00	1.1594	0.045019	24
2003-11-24 00:00	0.71006	0.02257	24
2003-11-25 00:00	0.10809	0.00051326	24
2003-11-26 00:00	0.0024091	0.00015667	24
2003-11-27 00:00	0.26152	0.012025	24
2003-11-28 00:00	0.75583	0.022262	24
2003-11-29 00:00	0.061532	0.00017549	24
2003-11-30 00:00	-1.0345e-09	-1.8099e-12	24
2003-12-01 00:00	-1.0717e-09	-2.0988e-11	24
2003-12-02 00:00	6.7625e-06	2.7658e-08	24
2003-12-03 00:00	-8.9021e-10	-2.4889e-12	24
2003-12-04 00:00	-1.0934e-09	-5.5499e-12	24
2003-12-05 00:00	-1.017e-09	-6.1752e-12	24
2003-12-06 00:00	0.0091623	0.00034646	24
2003-12-07 00:00	-1.1128e-09	-3.4873e-12	24
2003-12-08 00:00	0.021786	5.06e-05	24
2003-12-09 00:00	0.30764	0.0078984	24
2003-12-10 00:00	3.2123	0.050752	5.5671
2003-12-11 00:00	1.6923	0.0088175	24
2003-12-12 00:00	-1.1631e-09	-5.3883e-11	24
2003-12-13 00:00	0.012167	5.5535e-05	24
2003-12-14 00:00	0.90584	0.017559	24
2003-12-15 00:00	0.73207	0.0025157	24
2003-12-16 00:00	0.09684	0.00018499	24
2003-12-17 00:00	0.81944	0.021001	24
2003-12-18 00:00	-8.2926e-10	-2.4833e-11	24
2003-12-19 00:00	0.11252	0.0007654	24
2003-12-20 00:00	0.87067	0.067107	24
2003-12-21 00:00	1.5671	0.070239	24
2003-12-22 00:00	1.9346	0.065423	24
2003-12-23 00:00	1.8474	0.061965	24
2003-12-24 00:00	1.2158	0.024643	24
2003-12-25 00:00	-1.1997e-09	-5.5638e-12	24
2003-12-26 00:00	6.8545e-05	2.7818e-07	24
2003-12-27 00:00	0.081221	0.00032989	24
2003-12-28 00:00	1.1838	0.012221	24
2003-12-29 00:00	4.2328	0.12762	23.5
2003-12-30 00:00	3.6344	0.12601	23.5
2003-12-31 00:00	0.21033	0.00068748	24
2004-01-01 00:00	0.087119	0.00084953	24
2004-01-02 00:00	0.26179	0.006102	24
2004-01-03 00:00	0.036162	0.0014505	24
2004-01-04 00:00	0.039373	0.0018635	24
2004-01-05 00:00	0.049578	0.00029671	24
2004-01-06 00:00	0.22286	0.0039399	24
2004-01-07 00:00	0.36623	0.0019508	24
2004-01-08 00:00	2.6567	0.0079793	14.4056
2004-01-09 00:00	11.9222	0.0033076	1.3729
2004-01-10 00:00	8.7344	0.019314	13.3446
2004-01-11 00:00	7.2495	0.031143	13.2324
2004-01-12 00:00	6.7647	0.10189	13.0974
2004-01-13 00:00	6.4741	0.12319	13.1746
2004-01-14 00:00	6.1454	0.0059353	13.2454
2004-01-15 00:00	5.2614	0.08005	13.3595
2004-01-16 00:00	4.546	0.0055949	13.6989
2004-01-17 00:00	4.0386	0.0062024	13.8466
2004-01-18 00:00	3.3209	0.058011	14.7074
2004-01-19 00:00	3.3061	0.09676	14.7849
2004-01-20 00:00	2.8305	0.0057724	14.9225
2004-01-21 00:00	2.2953	0.0038085	15.73
2004-01-22 00:00	1.8853	0.057168	15.8819
2004-01-23 00:00	1.8114	0.0058743	15.996
2004-01-24 00:00	1.5603	0.0072683	24
2004-01-25 00:00	1.2825	0.0032806	24
2004-01-26 00:00	0.93256	0.0074721	24
2004-01-27 00:00	0.67571	0.0062311	24
2004-01-28 00:00	0.67612	1.8866	24
2004-01-29 00:00	0.52094	0.0026212	24
2004-01-30 00:00	0.43011	0.0011369	24
2004-01-31 00:00	0.36771	0.0026455	24
2004-02-01 00:00	0.35044	0.0016503	24
2004-02-02 00:00	0.21571	0.0016825	24
2004-02-03 00:00	0.14909	0.021723	24
2004-02-04 00:00	0.1337	0.0005246	24
2004-02-05 00:00	0.089006	0.00036742	24
2004-02-06 00:00	0.068469	0.00069444	24
2004-02-07 00:00	0.43832	0.0035348	24
2004-02-08 00:00	0.81397	0.0031419	24
2004-02-09 00:00	0.087134	0.00061432	24
2004-02-10 00:00	0.063064	0.001157	24
2004-02-11 00:00	0.063995	0.0013381	24
2004-02-12 00:00	0.080012	0.0002849	24
2004-02-13 00:00	0.090171	0.0062165	24
2004-02-14 00:00	0.10163	0.0020448	24
2004-02-15 00:00	0.095759	0.0018066	24
2004-02-16 00:00	0.050549	0.0010069	24
2004-02-17 00:00	0.083284	0.00074856	24
2004-02-18 00:00	0.10255	0.0040156	24
2004-02-19 00:00	0.10097	0.0045899	24
2004-02-20 00:00	0.098955	0.00040182	24
2004-02-21 00:00	0.1029	0.0042993	24
2004-02-22 00:00	0.66734	0.043881	0.5
2004-02-23 00:00	0.48369	0.002108	24
2004-02-24 00:00	0.089313	0.00067113	24
2004-02-25 00:00	0.10236	0.00065458	24
2004-02-26 00:00	0.084147	0.00040183	24
2004-02-27 00:00	0.080949	0.00079529	24
