DateTime	St	Ln	thermD
2003-11-09 00:00	-1.3588e-09	-2.0401e-10	24
2003-11-10 00:00	0.19363	0.0032292	24
2003-11-11 00:00	1.5571	0.0065857	22.5205
2003-11-12 00:00	5.0893	0.08439	22.4239
2003-11-13 00:00	-1.1416e-09	-9.3532e-13	24
2003-11-14 00:00	-1.4907e-09	-3.4057e-11	24
2003-11-15 00:00	0.026296	0.00039459	24
2003-11-16 00:00	2.8277	0.126	22.4823
2003-11-17 00:00	3.5218	0.21813	22.2746
2003-11-18 00:00	0.23869	0.00057746	23.5
2003-11-19 00:00	2.1177	0.047596	24
2003-11-20 00:00	-1.0732e-09	-1.9645e-11	24
2003-11-21 00:00	0.075788	0.0008393	24
2003-11-22 00:00	0.51374	0.0030278	23.5
2003-11-23 00:00	0.11271	0.0014844	24
2003-11-24 00:00	0.54943	0.0015904	22.4971
2003-11-25 00:00	-1.3182e-09	-5.2228e-12	24
2003-11-26 00:00	0.95939	0.004531	22.6601
2003-11-27 00:00	1.9201	0.046836	22.423
2003-11-28 00:00	2.4573	0.049713	22.0312
2003-11-29 00:00	2.2461	0.0047244	21.6967
2003-11-30 00:00	0.77486	0.0025945	22.7759
2003-12-01 00:00	1.3134	0.0029412	22.2738
2003-12-02 00:00	0.28634	0.00089972	23.5
2003-12-03 00:00	0.15057	0.013665	23.5
2003-12-04 00:00	0.12277	0.0019303	23.5
2003-12-05 00:00	0.24836	0.0099246	23.5
2003-12-06 00:00	0.22334	0.0030634	23.5
2003-12-07 00:00	0.81401	0.046422	24
2003-12-08 00:00	-1.2247e-09	-4.3832e-12	24
2003-12-09 00:00	0.097851	0.0025444	23.5
2003-12-10 00:00	0.2915	0.0016105	22.6628
2003-12-11 00:00	-1.3359e-09	-2.1453e-12	24
2003-12-12 00:00	-1.186e-09	-4.5047e-12	24
2003-12-13 00:00	-1.3092e-09	-7.8186e-11	24
2003-12-14 00:00	-1.2244e-09	-3.2068e-11	24
2003-12-15 00:00	-1.2377e-09	-4.2363e-11	24
2003-12-16 00:00	-1.2391e-09	-3.9819e-12	24
2003-12-17 00:00	-1.2248e-09	-2.886e-12	24
2003-12-18 00:00	-1.4811e-09	-6.5529e-11	24
2003-12-19 00:00	-1.2034e-09	-5.6721e-12	24
2003-12-20 00:00	-1.3257e-09	-6.6185e-12	24
2003-12-21 00:00	-1.2645e-09	-4.2193e-12	24
2003-12-22 00:00	-1.3995e-09	-6.3186e-12	24
2003-12-23 00:00	-1.1521e-09	-3.3709e-11	24
2003-12-24 00:00	-1.0665e-09	-5.264e-12	24
2003-12-25 00:00	0.00054823	1.616e-05	24
2003-12-26 00:00	0.2715	0.0077691	24
2003-12-27 00:00	0.073233	0.0012972	24
2003-12-28 00:00	-1.2561e-09	-2.627e-12	24
2003-12-29 00:00	0.00015875	2.3493e-06	24
2003-12-30 00:00	-1.2798e-09	-1.6484e-11	24
2003-12-31 00:00	-1.0918e-09	-3.5231e-12	24
2004-01-01 00:00	0.038666	0.0017487	24
2004-01-02 00:00	-1.0103e-09	-1.1513e-11	24
2004-01-03 00:00	-1.3368e-09	-2.0735e-11	24
2004-01-04 00:00	0.0015697	6.1672e-06	24
2004-01-05 00:00	-1.4014e-09	-4.4668e-12	24
2004-01-06 00:00	0.0024765	7.5405e-06	24
2004-01-07 00:00	-1.4641e-09	-4.3778e-12	24
2004-01-08 00:00	0.68728	0.019316	24
2004-01-09 00:00	2.7472	0.051933	24
2004-01-10 00:00	4.4037	0.16436	12.6395
2004-01-11 00:00	2.1156	0.0084355	16.2182
2004-01-12 00:00	0.013922	0.00015051	24
2004-01-13 00:00	0.021595	0.00029395	24
2004-01-14 00:00	0.35501	0.0195	24
2004-01-15 00:00	-1.3767e-09	-3.6171e-12	24
2004-01-16 00:00	1.5263	0.033736	24
2004-01-17 00:00	-1.3238e-09	-5.0452e-12	24
2004-01-18 00:00	0.10488	0.0015738	24
2004-01-19 00:00	0.0050179	1.5318e-05	24
2004-01-20 00:00	1.0929	0.037542	23.5
2004-01-21 00:00	3.973	0.33309	22.4325
2004-01-22 00:00	1.6247	0.0035321	22.3897
2004-01-23 00:00	0.5712	0.0026438	24
2004-01-24 00:00	0.38481	0.0057862	24
2004-01-25 00:00	0.27822	0.0089535	24
2004-01-26 00:00	0.23235	0.00091926	24
2004-01-27 00:00	0.20543	0.0038961	24
2004-01-28 00:00	0.15977	0.00050632	24
2004-01-29 00:00	0.080931	0.00037101	24
2004-01-30 00:00	0.041114	0.00022688	24
2004-01-31 00:00	0.045809	0.00068359	24
2004-02-01 00:00	0.050638	0.0087537	24
2004-02-02 00:00	0.052916	0.00027116	24
2004-02-03 00:00	0.051226	0.0026375	24
